station_id,num_bikes_available,vehicle_types_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,Reported_Time,Hour,Day_of_Week,Month
19,0,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,30,0,True,False,True,1786759415,2026-08-15 03:03:35+01:00,3,5,8
20,4,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 2}]",0,26,0,True,False,True,1786673008,2026-08-14 03:03:28+01:00,3,4,8
21,13,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 10}]",0,17,0,True,False,True,1786759381,2026-08-15 03:03:01+01:00,3,5,8
22,6,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,14,0,True,False,True,1786699498,2026-08-14 10:24:58+01:00,10,4,8
23,16,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,14,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
24,17,"[{'vehicle_type_id': 'mechanical', 'count': 9}, {'vehicle_type_id': 'electrical', 'count': 8}]",0,3,0,True,False,True,1786759373,2026-08-15 03:02:53+01:00,3,5,8
25,2,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,28,0,True,False,True,1786759374,2026-08-15 03:02:54+01:00,3,5,8
26,3,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 3}]",1,16,0,True,False,True,1786686449,2026-08-14 06:47:29+01:00,6,4,8
27,9,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,11,0,True,False,True,1786685150,2026-08-14 06:25:50+01:00,6,4,8
28,18,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 6}]",0,12,0,True,False,True,1786673859,2026-08-14 03:17:39+01:00,3,4,8
29,28,"[{'vehicle_type_id': 'mechanical', 'count': 18}, {'vehicle_type_id': 'electrical', 'count': 10}]",0,1,0,True,False,True,1786672978,2026-08-14 03:02:58+01:00,3,4,8
30,0,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,0,0,False,False,False,1781579123,2026-06-16 04:05:23+01:00,4,1,6
31,11,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 9}]",0,9,0,True,False,True,1786759375,2026-08-15 03:02:55+01:00,3,5,8
32,4,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,26,0,True,False,True,1786672986,2026-08-14 03:03:06+01:00,3,4,8
33,11,"[{'vehicle_type_id': 'mechanical', 'count': 6}, {'vehicle_type_id': 'electrical', 'count': 5}]",0,12,0,True,False,True,1786672979,2026-08-14 03:02:59+01:00,3,4,8
34,21,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 9}]",0,19,0,True,False,True,1786759377,2026-08-15 03:02:57+01:00,3,5,8
35,25,"[{'vehicle_type_id': 'mechanical', 'count': 14}, {'vehicle_type_id': 'electrical', 'count': 11}]",0,5,0,True,False,True,1786759378,2026-08-15 03:02:58+01:00,3,5,8
36,7,"[{'vehicle_type_id': 'mechanical', 'count': 4}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,33,0,True,False,True,1786672980,2026-08-14 03:03:00+01:00,3,4,8
37,2,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 2}]",0,28,0,True,False,True,1786672975,2026-08-14 03:02:55+01:00,3,4,8
